Name	Raw_1	Raw_2	Derep_1	Derep_2	Bmtagger_1	Bmtagger_2	Trimmo_1	Trimmo_2	Trimmo_solo_1	Trimmo_solo_2
SRR2243831	4557648.0	4557648.0	4551305.0	4551305.0	4549898.0	4549898.0	3835627.0	3835627.0	227220.0	128302.0
SRR2246343	4652021.0	4652021.0	4644592.0	4644592.0	4643146.0	4643146.0	3844671.0	3844671.0	260290.0	137400.0
SRR2243498	4494080.0	4494080.0	4487088.0	4487088.0	4485658.0	4485658.0	3782483.0	3782483.0	228919.0	123466.0
SRR2232428	4993879.0	4993879.0	4988480.0	4988480.0	4987654.0	4987654.0	4165948.0	4165948.0	246697.0	145681.0
SRR2232385	5083064.0	5083064.0	5075627.0	5075627.0	5074734.0	5074734.0	4176009.0	4176009.0	271786.0	155710.0
SRR2232011	4910437.0	4910437.0	4903437.0	4903437.0	4902547.0	4902547.0	4109873.0	4109873.0	238160.0	139473.0
SRR2231335	4984453.0	4984453.0	4978151.0	4978151.0	4977346.0	4977346.0	4171583.0	4171583.0	236611.0	144623.0
SRR2244714	4635026.0	4635026.0	4628790.0	4628790.0	4627232.0	4627232.0	3850115.0	3850115.0	233767.0	135213.0
SRR2246432	4700036.0	4700036.0	4695339.0	4695339.0	4693904.0	4693904.0	3888745.0	3888745.0	242159.0	140976.0
SRR2247054	4838067.0	4838067.0	4831618.0	4831618.0	4830072.0	4830072.0	3937705.0	3937705.0	267348.0	152194.0
SRR2236840	4964244.0	4964244.0	4955987.0	4955987.0	4930010.0	4930010.0	4127816.0	4127816.0	232083.0	156755.0
SRR2237780	4962843.0	4962843.0	4955994.0	4955994.0	4930173.0	4930173.0	4112962.0	4112962.0	241135.0	156976.0
SRR2237506	4881706.0	4881706.0	4872637.0	4872637.0	4846869.0	4846869.0	4059119.0	4059119.0	232536.0	150990.0
SRR2237548	5040976.0	5040976.0	5031433.0	5031433.0	5005026.0	5005026.0	4109057.0	4109057.0	265382.0	167019.0
SRR2237429	4324410.0	4324410.0	4320232.0	4320232.0	4316600.0	4316600.0	3528171.0	3528171.0	222694.0	125663.0
SRR2246319	4252030.0	4252030.0	4246586.0	4246586.0	4242957.0	4242957.0	3479423.0	3479423.0	215360.0	119792.0
